sepal.length,sepal.width,petal.length,petal.width,target,variety,R,G,B,trunk
5.1,3.5,1.4,0.2,0,Setosa,214,190,219,4
4.9,3,1.4,0.2,0,Setosa,223,195,216,3
4.7,3.2,1.3,0.2,0,Setosa,210,190,217,3
4.6,3.1,1.5,0.2,0,Setosa,218,191,215,3
5,3.6,1.4,0.2,0,Setosa,212,186,216,3
5.4,3.9,1.7,0.4,0,Setosa,211,186,215,3
4.6,3.4,1.4,0.3,0,Setosa,226,191,217,4
5,3.4,1.5,0.2,0,Setosa,225,195,220,4
4.4,2.9,1.4,0.2,0,Setosa,223,186,211,3
4.9,3.1,1.5,0.1,0,Setosa,213,189,215,4
5.4,3.7,1.5,0.2,0,Setosa,215,186,210,5
4.8,3.4,1.6,0.2,0,Setosa,211,188,219,5
4.8,3,1.4,0.1,0,Setosa,223,186,218,4
4.3,3,1.1,0.1,0,Setosa,222,185,216,4
5.8,4,1.2,0.2,0,Setosa,217,189,216,3
5.7,4.4,1.5,0.4,0,Setosa,226,195,210,5
5.4,3.9,1.3,0.4,0,Setosa,211,187,215,4
5.1,3.5,1.4,0.3,0,Setosa,212,185,217,4
5.7,3.8,1.7,0.3,0,Setosa,215,193,213,3
5.1,3.8,1.5,0.3,0,Setosa,219,192,216,4
5.4,3.4,1.7,0.2,0,Setosa,218,190,217,3
5.1,3.7,1.5,0.4,0,Setosa,223,185,220,3
4.6,3.6,1,0.2,0,Setosa,216,188,218,3
5.1,3.3,1.7,0.5,0,Setosa,222,191,212,4
4.8,3.4,1.9,0.2,0,Setosa,210,194,220,4
5,3,1.6,0.2,0,Setosa,222,192,220,5
5,3.4,1.6,0.4,0,Setosa,222,189,219,5
5.2,3.5,1.5,0.2,0,Setosa,212,187,215,4
5.2,3.4,1.4,0.2,0,Setosa,212,193,212,5
4.7,3.2,1.6,0.2,0,Setosa,217,188,220,5
4.8,3.1,1.6,0.2,0,Setosa,212,190,219,4
5.4,3.4,1.5,0.4,0,Setosa,226,185,214,3
5.2,4.1,1.5,0.1,0,Setosa,214,193,216,5
5.5,4.2,1.4,0.2,0,Setosa,225,186,213,4
4.9,3.1,1.5,0.2,0,Setosa,212,194,212,3
5,3.2,1.2,0.2,0,Setosa,219,194,211,5
5.5,3.5,1.3,0.2,0,Setosa,212,193,218,5
4.9,3.6,1.4,0.1,0,Setosa,213,195,217,5
4.4,3,1.3,0.2,0,Setosa,212,192,210,4
5.1,3.4,1.5,0.2,0,Setosa,215,186,213,5
5,3.5,1.3,0.3,0,Setosa,214,195,216,3
4.5,2.3,1.3,0.3,0,Setosa,210,189,214,5
4.4,3.2,1.3,0.2,0,Setosa,217,193,210,3
5,3.5,1.6,0.6,0,Setosa,213,189,215,4
5.1,3.8,1.9,0.4,0,Setosa,216,188,211,3
4.8,3,1.4,0.3,0,Setosa,221,190,212,5
5.1,3.8,1.6,0.2,0,Setosa,216,195,219,3
4.6,3.2,1.4,0.2,0,Setosa,210,187,216,3
5.3,3.7,1.5,0.2,0,Setosa,223,190,217,3
5,3.3,1.4,0.2,0,Setosa,213,185,214,4
7,3.2,4.7,1.4,1,Versicolor,140,108,222,5
6.4,3.2,4.5,1.5,1,Versicolor,146,109,223,3
6.9,3.1,4.9,1.5,1,Versicolor,140,114,223,4
5.5,2.3,4,1.3,1,Versicolor,142,113,218,5
6.5,2.8,4.6,1.5,1,Versicolor,146,109,215,5
5.7,2.8,4.5,1.3,1,Versicolor,146,113,217,3
6.3,3.3,4.7,1.6,1,Versicolor,140,114,215,5
4.9,2.4,3.3,1,1,Versicolor,146,110,220,3
6.6,2.9,4.6,1.3,1,Versicolor,143,110,220,4
